ABEBI, one who wards off.,female,African,BBAEIg7@gmail.com
ABENA, born on Tuesday.,female,African,AABENC8@gmail.com
ABENI, suppliant.,female,African,ABEINV6@gmail.com
ABIDEMI, born while Father is away.,female,African,IIABDEMj4@gmail.com
ACHIENG, born when the sun shines.,female,African,ACEGHINm2@gmail.com
ADAEZE, princess.,female,African,AAEEDZZ9@gmail.com
ADANNA, father's daughter.,female,African,AAANNDq4@gmail.com
ADEDE, famous.,female,African,DDEEAr5@gmail.com
ADHIAMBO, born in the evening.,female,African,AABDHIMOs4@gmail.com
ADISA, I am grave,female,African,AADISO9@gmail.com
ADJOA, Monday-born.,female,African,AADJOC5@gmail.com
ADONGO, second-born of twins.,female,African,OOADGNU1@gmail.com
ADWOA, Monday-born.,female,African,AADOWU1@gmail.com
AFFRICA, from the land of the Afarik.,female,African,AAFFCIRQ0@gmail.com
AFIA, born on Friday.,female,African,AAFIE9@gmail.com
AFRICA, from the land of the Afarik.,female,African,AACFIRU0@gmail.com
AFUÁ, born on Friday.,female,African,AFUD5@gmail.com
AKELLO, born after twins (?).,female,African,LLAEKON2@gmail.com
AKINYI, born in the morning (?).,female,African,IIAKNYu1@gmail.com
AKOKO, fowl,female,African,KKOOAU5@gmail.com
AKOSUA, born on Sunday (afternoon or evening).,female,African,AAKOSUh7@gmail.com
AKUA, born on Wednesday.,female,African,AAKUa5@gmail.com
AKWASIBAH, born on Sunday.,female,African,AAABHIKSWP9@gmail.com
ALABA, one person; an individual.,female,African,AAABLf5@gmail.com
ALALA, a dreamer.,female,African,AAALLA0@gmail.com
AMAKA, noble; or,female,African,AAAKMO3@gmail.com
AMARA, urgent business.,female,African,AAAMRg1@gmail.com
ANAN, fourth born child.,female,African,AANNi5@gmail.com
APIO, (the one who comes quickly) the first-born of twins.,female,African,AIOPu2@gmail.com
APIYO, (the one who comes quickly) the first-born of twins.,female,African,AIOPYs9@gmail.com
APUNDA, one who is beside herself.,female,African,AADNPUd8@gmail.com
ARJANA, paradise.,female,African,AAAJNRy4@gmail.com
ASHANTI, of the Ashanti people.,female,African,AAHINSTi7@gmail.com
ATIENO, born in the evening (or night).,female,African,AEINOTH6@gmail.com
AWITI, the child that has been thrown away.,female,African,IIATWg4@gmail.com
AWOTWI, born eighth.,female,African,WWAIOTD3@gmail.com
AYO, joy; valued; or,female,African,AOYM6@gmail.com
AYODELE, joy of the house.,female,African,EEADLOYt5@gmail.com
AYOO, born on the road.,female,African,OOAYJ7@gmail.com
AYOTUNDE, joy has returned.,female,African,ADENOTUYi1@gmail.com
AYSI, born on Sunday (morning).,female,African,AISYN2@gmail.com
BAAKO, first born.,female,African,AABKOn5@gmail.com
BABIRYE, (two people) first-born of twin girls.,female,African,BBAEIRYz0@gmail.com
BAHATI, good fortune,female,African,AABHITl1@gmail.com
BAMIDELE, bring me home.,female,African,EEABDILMu4@gmail.com
BAPOTO, disturbance,female,African,OOABPTc5@gmail.com
BELAKANE, concubine (?).,female,African,AAEEBKLNL5@gmail.com
BLESSING, blessing.,female,African,SSBEGILNa6@gmail.com
BOHLALE, wisdom.,female,African,LLABEHOW3@gmail.com
BOIPELO, proud.,female,African,OOBEILPe9@gmail.com
