MERTON," English surname transferred to forename use, derived from the name of various places composed of the Old English elements mere ""lake, pool"" and tun ""enclosure, settlement,"" hence ""lake settlement.""",male,english,MERTON@gmail.com
MERV," Short form of English Mervin, meaning ""marrow-eminent.""",male,english,MERV@gmail.com
MERVIN," Variant spelling of English Mervyn, meaning ""marrow-eminent.""",male,english,MERVIN@gmail.com
MERVYN," Anglicized form of Welsh Merfyn, meaning ""marrow-eminent.""",male,english,MERVYN@gmail.com
MERYL," Variant form of English unisex Merrill, meaning ""sea-bright.""",male,english,MERYL@gmail.com
MERYLE," Variant spelling of English unisex Merrill, meaning ""sea-bright.""",male,english,MERYLE@gmail.com
MESECH," Anglicized form of Hebrew Meshek, meaning ""to draw."" In the bible, this is the name of a son of Japheth.",male,english,MESECH@gmail.com
MESHECH," Anglicized form of Hebrew Meshek, meaning ""to draw."" In the bible, this is the name of a son of Japheth.",male,english,MESHECH@gmail.com
METHUSAEL," Anglicized form of Hebrew Methuwshael, meaning ""man of God."" In the bible, this is the name of a descendant of Cain.",male,english,METHUSAEL@gmail.com
METHUSELAH," Anglicized form of Hebrew Methuwshelach, meaning ""man of the dart."" In the bible, this is the name of a son of Enoch. He lived to the age of 969 years. ",male,english,METHUSELAH@gmail.com
METUSHAEL," Variant spelling of English Methusael, meaning ""man of God.""",male,english,METUSHAEL@gmail.com
MICAH," Anglicized form of Hebrew Miyka, meaning ""who is like God?"" In the bible, this is the name of several characters, including the father of Mattaniah.",male,english,MICAH@gmail.com
MICAIAH," Anglicized form of Hebrew Miyka, meaning ""who is like God?"" In the bible, this is the name of several characters, including the father of Mattaniah.",male,english,MICAIAH@gmail.com
MICAJAH," Variant spelling of English Micaiah, meaning ""who is like God?""",male,english,MICAJAH@gmail.com
MICHA," Variant spelling of English Michah, meaning ""who is like God?""",male,english,MICHA@gmail.com
MICHAEL," Anglicized form of Greek Michaēl (Hebrew Miyka'el), meaning ""who is like God?"" or literally ""El's likeness."" In the Old Testament bible, this is the name of many characters, including the prince of Angels, the first archangel who was closest to God and became the guardian angel of Israel. In the New Testament, he leads the angelic host against the Apocalyptic Dragon. The Dead Sea Scrolls contain a story entitled ""The War of the Sons of Light and the Sons of Darkness,"" in which Michael is described as the ""viceroy of heaven,"" a title said to once belong to Satan. His name was the war-cry of the angels when he led them in battle against their chief antagonist, Samael. ",male,english,MICHAEL@gmail.com
MICHAH," Anglicized form of Hebrew Miykah, meaning ""who is like God?"" In the bible, this is the name of many characters, including a minor prophet.",male,english,MICHAH@gmail.com
MICHAYA," Variant spelling of English Micaiah, meaning ""who is like God?"" ",male,english,MICHAYA@gmail.com
MICK," Pet form of English Michael, meaning ""who is like God?"" Rarely used anymore due to its use as a derogatory term for a Catholic Irishman.",male,english,MICK@gmail.com
MICKEY," Unisex pet form of English Michael and Michaela, both meaning ""who is like God?""",male,english,MICKEY@gmail.com
MICKY," Pet form of English Michael, meaning ""who is like God?""",male,english,MICKY@gmail.com
MIDIAN," Anglicized form of Hebrew Midyan, meaning ""strife, war."" In the bible, this is the name of a son of Abraham.",male,english,MIDIAN@gmail.com
MIKE," Pet form of English Michael, meaning ""who is like God?""",male,english,MIKE@gmail.com
MIKI," Pet form of English Michael, meaning ""who is like God?""",male,english,MIKI@gmail.com
MILBURN," English surname transferred to forename use, from the name of a place in Cumbria, composed of the Old English elements mylen ""mill"" and burna ""stream,"" hence ""mill-stream.""",male,english,MILBURN@gmail.com
MILE," Middle English name of uncertain origin, but commonly associated with Latin Milo, meaning ""soldier."" Compare with another form of Mile.",male,english,MILE@gmail.com
MILES," Patronymic form of English Mile, meaning ""son of Mile.""",male,english,MILES@gmail.com
MILFORD," English surname transferred to forename use, derived from the name of numerous places composed of the Old English elements mylen ""mill"" and ford ""ford,"" hence ""mill ford.""",male,english,MILFORD@gmail.com
MILLARD," English surname transferred to forename use, from a variant of the surname Millward, a form of Millweard, an old Anglo-Saxon occupational surname composed of the Old English elements mylen ""mill"" and weard ""guardian,"" hence ""mill-guard.""",male,english,MILLARD@gmail.com
MILTON," English surname transferred to forename use, form the name of various places, most of which were derived from the Old English word mylentun, meaning ""mill settlement.""",male,english,MILTON@gmail.com
MITCH," Short form of English Mitchell, meaning ""who is like God?""",male,english,MITCH@gmail.com
MITCHELL," English surname transferred to forename use, from a medieval form of Michael, meaning ""who is like God?"" ",male,english,MITCHELL@gmail.com
MIYKAH (מִיכָה)," Hebrew name meaning ""who is like God?"" In the bible, this is the name of many characters, including a minor prophet. The Anglicized form is Michah.",male,english,MIYKAH (מִיכָה)@gmail.com
MO," Pet form of English Morris, meaning ""dark-skinned; Moor."" Compare with feminine Mo.",male,english,MO@gmail.com
MOAB," Anglicized form of Hebrew Mowab, meaning ""water,"" i.e. ""seed,"" hence ""of his father."" In the bible, this is the name of a son of Lot.",male,english,MOAB@gmail.com
MOE," Pet form of English Moses, meaning ""drawn out.""",male,english,MOE@gmail.com
MOISE," Middle English form of French Moisé, meaning ""drawn out.""",male,english,MOISE@gmail.com
MONTAGUE," English surname transferred to forename use, originally a Norman baronial name composed of the Old French elements mont ""hill, mountain"" and aigu ""pointed,"" hence ""pointed mountain.""",male,english,MONTAGUE@gmail.com
MONTE," Variant spelling of English Monty, meaning ""pointed mountain.""",male,english,MONTE@gmail.com
MONTGOMERY," English surname transferred to forename use, originally a Norman baronial name composed of Old French mont ""hill"" and the Germanic personal name Gomeric, hence ""hill of Gomeric.""",male,english,MONTGOMERY@gmail.com
MONTMORENCY," English surname transferred to forename use, originally a Norman baronial name composed of Old French mont ""hill"" and Germanic Morency, hence ""hill of Morency.""",male,english,MONTMORENCY@gmail.com
MONTY," Pet form of English Montague ""pointed mountain,"" and more rarely Montgomery ""hill of Gomeric."" ",male,english,MONTY@gmail.com
MORDECAI," Anglicized form of Hebrew Mordekay, meaning ""devotee of Marduk (Mars)"" or ""little man."" In the bible, this is the name of a cousin of Queen Esther.",male,english,MORDECAI@gmail.com
MORDECHAI," Variant spelling of English Mordecai, meaning ""devotee of Marduk (Mars)"" or ""little man.""",male,english,MORDECHAI@gmail.com
MORDRED," Old English Arthurian legend name of a Knight of the Round Table who was the illegitimate son and traitor of King Arthur, possibly meaning ""sea counsel."" He was brother (or half-brother) to Agravain, Gaheris, Gareth, and Gawain, and noted for having crowned himself and married Guinevere while Arthur was waging war on Emperor Lucius of Rome. He was killed by Arthur at the Battle of Camlann. ",male,english,MORDRED@gmail.com
MORGAN," Welsh name, derived from ancient Celtic Morcant, probably meaning ""sea circle."" In use by the English as a unisex name.",male,english,MORGAN@gmail.com
MORGEN," English variant spelling of Welsh Morgan, probably meaning ""sea circle."" In use by the English as a unisex name.",male,english,MORGEN@gmail.com
